APD#	0008	Started	03/06/07 19:37	Sense_ohms	1.004464E+6	1.004628E+6	1.002105E+6	1.000924E+6	9.998282E+5	1.007735E+6	1.002821E+6	9.989270E+5	9.993226E+5	1.002376E+6	1.001862E+6	1.003102E+6	1.000030E+6	1.003780E+6	1.000011E+6	1.000898E+6	9.999006E+5	1.006439E+6	1.005624E+6	1.010450E+6	1.003884E+6	1.005600E+6	1.002519E+6	1.006362E+6	1.004620E+6	1.008599E+6	1.003214E+6	1.000475E+6	1.003139E+6	9.996927E+5	1.009944E+6	1.000506E+6	
ElapTime	Shutter_Open	DegC	BiasV	KE237_Amps	Pixel_Sum	A1	A2	A3	A4	A5	A6	A7	A8	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8
   0:04:12	0	2.659500E+1	2.400000E+2	7.173700E-9	6.770966E-9	2.347222E-10	1.786920E-10	2.729484E-10	2.249202E-10	2.889656E-10	3.269907E-10	2.824811E-10	2.444563E-10	1.593569E-10	2.212443E-10	-1.100152E-11	2.717301E-10	3.200724E-10	3.193807E-10	2.816919E-10	2.408747E-10	1.361415E-10	1.991407E-10	1.950819E-10	-1.492009E-11	3.391617E-10	2.495117E-10	2.778272E-10	1.889588E-10	1.321604E-10	1.251072E-10	1.865843E-10	1.556910E-10	1.497838E-10	2.499088E-10	1.791941E-10	1.641070E-10
   0:04:27	0	2.659500E+1	2.600000E+2	8.343000E-9	7.910126E-9	2.570465E-10	1.988696E-10	3.127087E-10	2.699166E-10	3.595438E-10	4.086441E-10	3.538598E-10	2.940455E-10	1.762184E-10	2.474700E-10	-1.232904E-11	3.138504E-10	3.924732E-10	3.752934E-10	3.426922E-10	2.846694E-10	1.446944E-10	2.121688E-10	2.127823E-10	-1.560988E-11	3.846560E-10	3.016060E-10	3.428454E-10	2.273556E-10	1.394109E-10	1.323301E-10	1.949823E-10	1.736725E-10	1.655075E-10	3.028181E-10	2.182071E-10	1.977260E-10
   0:04:41	0	2.659500E+1	2.800000E+2	9.723000E-9	9.422662E-9	2.850466E-10	2.243427E-10	3.651743E-10	3.314937E-10	4.536899E-10	5.194639E-10	4.534738E-10	3.564435E-10	1.947269E-10	2.795737E-10	-1.220328E-11	3.671481E-10	4.938852E-10	4.491911E-10	4.283333E-10	3.413125E-10	1.541333E-10	2.261419E-10	2.346404E-10	-1.492009E-11	4.435283E-10	3.731653E-10	4.333903E-10	2.782140E-10	1.493739E-10	1.401806E-10	2.095684E-10	1.944396E-10	1.837572E-10	3.734698E-10	2.720844E-10	2.403984E-10
   0:04:55	0	2.659600E+1	3.000000E+2	1.177200E-8	1.145501E-8	3.208667E-10	2.568155E-10	4.366039E-10	4.164242E-10	5.848365E-10	6.754792E-10	5.937670E-10	4.383103E-10	2.218573E-10	3.229886E-10	-1.207651E-11	4.396432E-10	6.314021E-10	5.512333E-10	5.447600E-10	4.178278E-10	1.642693E-10	2.433242E-10	2.585768E-10	-1.529616E-11	5.258735E-10	4.678421E-10	5.579924E-10	3.447467E-10	1.597151E-10	1.492238E-10	2.230172E-10	2.213489E-10	2.020697E-10	4.666144E-10	3.436488E-10	3.013055E-10
   0:05:09	0	2.659600E+1	3.200000E+2	1.478000E-8	1.447900E-8	3.797040E-10	3.032854E-10	5.562641E-10	5.404656E-10	7.814933E-10	8.988157E-10	7.996263E-10	5.571458E-10	2.549457E-10	3.823914E-10	-1.163334E-11	5.466802E-10	8.364439E-10	7.079270E-10	7.172461E-10	5.299741E-10	1.749124E-10	2.723394E-10	2.910163E-10	-1.811767E-11	6.576885E-10	6.105191E-10	7.424947E-10	4.410510E-10	1.703709E-10	1.617223E-10	2.554719E-10	2.615538E-10	2.318113E-10	6.029753E-10	4.525330E-10	3.898807E-10
   0:05:23	0	2.659600E+1	3.400000E+2	1.930200E-8	1.889162E-8	4.690651E-10	3.737154E-10	7.177062E-10	7.243757E-10	1.064630E-9	1.231213E-9	1.107943E-9	7.322287E-10	3.083819E-10	4.689049E-10	-1.138081E-11	6.981115E-10	1.144164E-9	9.285461E-10	9.706223E-10	6.947761E-10	1.934112E-10	3.229426E-10	3.346062E-10	-1.504577E-11	8.341790E-10	8.184566E-10	1.015330E-9	5.851314E-10	1.876471E-10	1.779260E-10	2.912101E-10	3.179670E-10	2.695100E-10	8.032058E-10	6.124092E-10	5.197350E-10
   0:05:38	0	2.659700E+1	3.600000E+2	2.584400E-8	2.564028E-8	5.814444E-10	4.735285E-10	9.567740E-10	1.010873E-9	1.517244E-9	1.750802E-9	1.593127E-9	1.005158E-9	3.846376E-10	5.992751E-10	-1.125404E-11	9.294897E-10	1.623036E-9	1.270267E-9	1.368931E-9	9.534338E-10	2.137472E-10	3.710289E-10	3.944466E-10	-1.673809E-11	1.099198E-9	1.146645E-9	1.448279E-9	8.087726E-10	2.096534E-10	1.989651E-10	3.215814E-10	4.037582E-10	3.270364E-10	1.115149E-9	8.661787E-10	7.258177E-10
   0:05:51	0	2.659700E+1	3.620000E+2	2.684000E-8	2.652525E-8	5.953175E-10	4.881568E-10	9.871790E-10	1.050554E-9	1.575531E-9	1.820324E-9	1.655914E-9	1.042952E-9	3.965536E-10	6.098290E-10	-1.188687E-11	9.590430E-10	1.683782E-9	1.316145E-9	1.422456E-9	9.891288E-10	2.148874E-10	3.762533E-10	4.018798E-10	-1.579791E-11	1.134281E-9	1.189920E-9	1.503883E-9	8.378526E-10	2.125530E-10	2.016034E-10	3.283377E-10	4.147120E-10	3.319620E-10	1.157350E-9	9.016797E-10	7.529160E-10
   0:06:05	0	2.659700E+1	3.640000E+2	2.750200E-8	2.742849E-8	6.105794E-10	5.012721E-10	1.018722E-9	1.086184E-9	1.639013E-9	1.891794E-9	1.720660E-9	1.076307E-9	4.060621E-10	6.289137E-10	-1.194975E-11	9.890390E-10	1.748836E-9	1.362276E-9	1.475286E-9	1.022608E-9	2.189418E-10	3.809729E-10	4.088715E-10	-1.372953E-11	1.167598E-9	1.235401E-9	1.565172E-9	8.680038E-10	2.134359E-10	2.035507E-10	3.312424E-10	4.261086E-10	3.416864E-10	1.199804E-9	9.344201E-10	7.814066E-10
   0:06:19	0	2.659800E+1	3.660000E+2	2.869300E-8	2.842424E-8	6.276691E-10	5.179181E-10	1.052793E-9	1.128776E-9	1.704840E-9	1.965653E-9	1.792607E-9	1.118921E-9	4.185495E-10	6.463553E-10	-1.144369E-11	1.020929E-9	1.821046E-9	1.413077E-9	1.535589E-9	1.060328E-9	2.194488E-10	3.870160E-10	4.214697E-10	-1.548419E-11	1.207729E-9	1.282708E-9	1.628485E-9	9.003569E-10	2.172822E-10	2.059371E-10	3.360410E-10	4.393413E-10	3.506533E-10	1.244983E-9	9.729936E-10	8.116703E-10
